name,category
Knoblauchzehe,Gemüse
Petersilie,Gewürze
Karotte,Gemüse
Frühlingszwiebel,Gemüse
Paprika,Gemüse
Zwiebel,Gemüse
Gemüsebrühe,Haltbares
rote Zwiebel,Gemüse
Joghurt,Milchprodukte
Reis,Haltbares
Zitrone,Obst
Limette,Obst
Tomate,Gemüse
Sahne,Milchprodukte
Mayonnaise,Haltbares
Sojasoße,Haltbares
Parmesan,Milchprodukte
Gurke,Gemüse
Kokosmilch,Haltbares
Chilischote,Gemüse
Salatherz (Romana),Gemüse
Zucchini,Gemüse
Hähnchenbrust,Fleisch
"Gewürzmischung ""Paprika""",Gewürze
Hühnerbrühe,Haltbares
Champignons,Gemüse
Senf,Haltbares
Babyspinat,Gemüse
Ingwer,Gemüse
Schnittlauch,Gewürze
Ofenkartoffel,Gemüse
Hirtenkäse,Milchprodukte
Tomatenmark,Haltbares
Kirschtomate,Gemüse
Süßkartoffel,Gemüse
vorw. festk. Kartoffeln,Gemüse
Sahnejoghurt,Milchprodukte
Buschbohnen,Gemüse
Koriander,Gewürze
Maisstärke,Haltbares
Sesam,Haltbares
Kartoffeln (Drillinge),Gemüse
Minze,Gewürze
Rinderhackfleisch,Fleisch
"Gewürzmischung ""Harissa""",Gewürze
Brokkoli,Gemüse
Avocado,Obst
Balsamicocreme,Haltbares
Schalotte,Gemüse
Basilikum,Gewürze
Pankomehl,Haltbares
Rucola,Gemüse
Honig,Haltbares
Kürbiskerne,Haltbares
"Gewürzmischung ""Patatas""",Gewürze
Burger Buns,Brot
Zitronen-Buttermilch,Milchprodukte
Wraps,Brot
Thymian,Gewürze
Sriracha Sauce,Haltbares
"Gewürzmischung ""Muskat""",Gewürze
Porree,Gemüse
Chili,Gewürze
Erdnussbutter,Haltbares
Dill,Gewürze
"Gewürzmischung ""Mezze""",Gewürze
Hähnchengeschnetzeltes,Fleisch
Tomatenpesto,Haltbares
Kichererbsen,Haltbares
Garnelen,Fleisch
Ketchup,Haltbares
Blattsalatmischung,Gemüse
"Gewürzmischung ""Buon Appetito""",Gewürze
gemischtes Hackfleisch,Fleisch
Worcester Sauce,Haltbares
Tomaten,Gemüse
Couscous,Verschiedenes
Radieschen,Gemüse
Aprikosen-Marmelade,Haltbares
Aubergine,Gemüse
Sweet-Chili-Soße,Haltbares
Erdnüsse,Haltbares
Butter,Milchprodukte
mehligk. Kartoffeln,Gemüse
"junger Gouda, gerieben",Milchprodukte
"Gewürzmischung ""Curry""",Gewürze
Sesamöl,Haltbares
"Gewürzmischung ""Fiesta""",Gewürze
gelbe Currypaste,Gewürze
Grillkäse,Milchprodukte
braune Linsen,Haltbares
Blumenkohl,Gemüse
Crème fraîche,Milchprodukte
Cashewkerne,Haltbares
Schmand,Milchprodukte
Semmelbrösel,Haltbares
Kürbis,Gemüse
schwarze Bohnen,Haltbares
"Gewürzmischung ""Souflaki""",Gewürze
Schweinefilet,Fleisch
Rinderbrühe,Verschiedenes
"Gewürzmischung ""Smoky Paprika""",Gewürze
Apfel,Obst
Sweet Chili Soße,Haltbares
grüne Bohnen,Gemüse
Rinderhüftsteak,Fleisch
Basilikumpaste,Verschiedenes
Sonnenblumenkerne,Verschiedenes
Mais,Gemüse
süßer Senf,Haltbares
Schwarzkümmel,Gewürze
Seehecht,Fleisch
Oregano,Gewürze
Walnüsse,Haltbares
"Erdnüsse, gesalzen",Haltbares
Tomatensauce,Haltbares
 Zwiebel,Gemüse
körniger Senf,Haltbares
Kartoffeln,Gemüse
Mehl,Haltbares
BBQ-Soße,Haltbares
Chorizo,Fleisch
Bacon (Streifen),Fleisch
Schweinelachssteaks,Fleisch
Getrocknete Tomaten,Haltbares
Kreuzkümmel,Gewürze
Seelachs,Fleisch
Fladenbrot,Brot
Aioli,Verschiedenes
Teriyakisoße,Haltbares
Feldsalat,Gemüse
Zitronengras,Gewürze
Lachsfilet,Fleisch
Mini-Fladenbrot,Brot
Bacon,Fleisch
Penne,Haltbares
Käse-Mix,Milchprodukte
Knoblauchzehe ,Gemüse
Nudeln,Haltbares
Rosmarin,Gewürze
Bulgur,Verschiedenes
Risottoreis,Haltbares
Ajvar,Verschiedenes
Gewürzmischung,Gewürze
Orzo-Nudeln,Verschiedenes
"Gewürzmischung ""Cajun""",Gewürze
Baby Pak Choi,Gemüse
Marinierter Tofu,Milchprodukte
Mozzarella,Milchprodukte
Glasnudeln,Haltbares
Hoisinsoße,Haltbares
Pak Choi,Gemüse
Mandelblättchen,Haltbares
Jalapeño,Gemüse
Salbei,Gewürze
weiße Misopaste,Haltbares
Spaghetti,Haltbares
Frischecreme,Milchprodukte
Balsamicoessig,Haltbares
Pinienkerne,Haltbares
Holzspieße,Verschiedenes
Ziegenfrischkäsetaler,Milchprodukte
Preiselbeermarmelade,Haltbares
Agavendicksaft,Haltbares
Salatmischung,Gemüse
Kidneybohnen,Haltbares
Kerbel,Gewürze
Tikka-Masala-Paste,Haltbares
Ingwerpaste,Haltbares
"Mandeln blanchiert, gehobelt",Haltbares
Mango,Obst
Kaiserschoten,Gemüse
gerebelter Oregano,Gewürze
Birne,Obst
geröstete Erdnüsse,Haltbares
Kräuterbutter,Milchprodukte
Rosmarinzweig,Gewürze
Milch,Milchprodukte
Frischkäse,Milchprodukte
