name,category
Knoblauchzehe,Gemüse
Petersilie,Gewürze
Karotte,Gemüse
Frühlingszwiebel,Gemüse
Paprika,Gemüse
Zwiebel,Gemüse
Gemüsebrühe,Haltbares
rote Zwiebel,Gemüse
Joghurt,Milchprodukte
Reis,Haltbares
Zitrone,Obst
Tomate,Gemüse
Limette,Obst
Sahne,Milchprodukte
Mayonnaise,Haltbares
Sojasoße,Haltbares
Parmesan,Milchprodukte
Gurke,Gemüse
Kokosmilch,Haltbares
Chilischote,Gemüse
Zucchini,Gemüse
Salatherz (Romana),Gemüse
Hähnchenbrust,Fleisch
"Gewürzmischung ""Paprika""",Gewürze
Champignons,Gemüse
Hühnerbrühe,Haltbares
Senf,Haltbares
Babyspinat,Gemüse
Schnittlauch,Gewürze
Ingwer,Gemüse
Ofenkartoffel,Gemüse
Hirtenkäse,Milchprodukte
Tomatenmark,Haltbares
Sahnejoghurt,Milchprodukte
Süßkartoffel,Gemüse
Kirschtomate,Gemüse
vorw. festk. Kartoffeln,Gemüse
Buschbohnen,Gemüse
Koriander,Gewürze
Maisstärke,Haltbares
Kartoffeln (Drillinge),Gemüse
Sesam,Haltbares
Minze,Gewürze
Rinderhackfleisch,Fleisch
"Gewürzmischung ""Harissa""",Gewürze
Brokkoli,Gemüse
Balsamicocreme,Haltbares
Avocado,Obst
Schalotte,Gemüse
Basilikum,Gewürze
Pankomehl,Haltbares
Rucola,Gemüse
Kürbiskerne,Haltbares
Honig,Haltbares
"Gewürzmischung ""Patatas""",Gewürze
Burger Buns,Brot
Thymian,Gewürze
Zitronen-Buttermilch,Milchprodukte
Wraps,Brot
Sriracha Sauce,Haltbares
Chili,Gewürze
Porree,Gemüse
"Gewürzmischung ""Muskat""",Gewürze
"Gewürzmischung ""Mezze""",Gewürze
Dill,Gewürze
Erdnussbutter,Haltbares
Hähnchengeschnetzeltes,Fleisch
Kichererbsen,Haltbares
Tomatenpesto,Haltbares
Garnelen,Fleisch
Worcester Sauce,Haltbares
"Gewürzmischung ""Buon Appetito""",Gewürze
gemischtes Hackfleisch,Fleisch
Ketchup,Haltbares
Blattsalatmischung,Gemüse
Tomaten,Gemüse
Couscous,Verschiedenes
Radieschen,Gemüse
Aprikosen-Marmelade,Haltbares
Erdnüsse,Haltbares
Aubergine,Gemüse
Sweet-Chili-Soße,Haltbares
mehligk. Kartoffeln,Gemüse
Sesamöl,Haltbares
Butter,Milchprodukte
"Gewürzmischung ""Curry""",Gewürze
"junger Gouda, gerieben",Milchprodukte
gelbe Currypaste,Gewürze
Grillkäse,Milchprodukte
braune Linsen,Haltbares
Cashewkerne,Haltbares
"Gewürzmischung ""Fiesta""",Gewürze
Blumenkohl,Gemüse
Crème fraîche,Milchprodukte
Semmelbrösel,Haltbares
Schmand,Milchprodukte
Kürbis,Gemüse
schwarze Bohnen,Haltbares
"Gewürzmischung ""Souflaki""",Gewürze
Schweinefilet,Fleisch
Rinderbrühe,Verschiedenes
grüne Bohnen,Gemüse
"Gewürzmischung ""Smoky Paprika""",Gewürze
Sweet Chili Soße,Haltbares
Rinderhüftsteak,Fleisch
Apfel,Obst
Basilikumpaste,Verschiedenes
Mais,Gemüse
süßer Senf,Haltbares
Kartoffeln,Gemüse
Sonnenblumenkerne,Verschiedenes
Schwarzkümmel,Gewürze
"Erdnüsse, gesalzen",Haltbares
Walnüsse,Haltbares
Seehecht,Fleisch
Oregano,Gewürze
Tomatensauce,Haltbares
Mehl,Haltbares
 Zwiebel,Gemüse
körniger Senf,Haltbares
Getrocknete Tomaten,Haltbares
BBQ-Soße,Haltbares
Bacon (Streifen),Fleisch
Schweinelachssteaks,Fleisch
Chorizo,Fleisch
Seelachs,Fleisch
Fladenbrot,Brot
Kreuzkümmel,Gewürze
Teriyakisoße,Haltbares
Aioli,Verschiedenes
Feldsalat,Gemüse
Lachsfilet,Fleisch
Mini-Fladenbrot,Brot
Zitronengras,Gewürze
Bacon,Fleisch
Penne,Haltbares
Rosmarin,Gewürze
"Gewürzmischung ""Cajun""",Gewürze
Bulgur,Verschiedenes
Ajvar,Verschiedenes
Käse-Mix,Milchprodukte
Knoblauchzehe ,Gemüse
Nudeln,Haltbares
Risottoreis,Haltbares
Pak Choi,Gemüse
Gewürzmischung,Gewürze
Orzo-Nudeln,Verschiedenes
Mozzarella,Milchprodukte
Baby Pak Choi,Gemüse
Marinierter Tofu,Milchprodukte
Glasnudeln,Haltbares
Hoisinsoße,Haltbares
Salatmischung,Gemüse
Mandelblättchen,Haltbares
Jalapeño,Gemüse
Balsamicoessig,Haltbares
Salbei,Gewürze
weiße Misopaste,Haltbares
Pinienkerne,Haltbares
Holzspieße,Verschiedenes
Spaghetti,Haltbares
Frischecreme,Milchprodukte
Kerbel,Gewürze
Ingwerpaste,Haltbares
Preiselbeermarmelade,Haltbares
Ziegenfrischkäsetaler,Milchprodukte
Tikka-Masala-Paste,Haltbares
Mango,Obst
Agavendicksaft,Haltbares
Kidneybohnen,Haltbares
"Mandeln blanchiert, gehobelt",Haltbares
Milch,Milchprodukte
Madras Curry,Gewürze
Kaiserschoten,Gemüse
geröstete Erdnüsse,Haltbares
Rosmarinzweig,Gewürze
Frischkäse,Milchprodukte
gerebelter Oregano,Gewürze
Birne,Obst
